

DBspace Usage Report: rootdbs             Owner: informix  Created: 06/10/2014


 Chunk Pathname                             Pagesize(k)  Size(p)  Used(p)  Free(p)
     1 C:\ol_kg_data\rootdbs_dat.000                  4    51200    20278    30922

 Description                                                   Offset(p)  Size(p)
 ------------------------------------------------------------- -------- --------
 sysutils:'informix'.sysprocbody                                  29101        8
 sysutils:'informix'.sysprocplan                                  29109        8
 sysutils:'informix'.sysprocauth                                  29117        8
 sysutils:'informix'.sysblobs                                     29125        8
 sysutils:'informix'.sysopclstr                                   29133        8
 sysutils:'informix'.systriggers                                  29141        8
 sysutils:'informix'.systrigbody                                  29149        8
 sysutils:'informix'.sysdistrib                                   29157        8
 sysutils:'informix'.sysfragments                                 29165        8
 sysutils:'informix'.sysfragauth                                  29173        8
 sysutils:'informix'.sysxtdtypes                                  29181        8
 sysutils:'informix'.sysxtddesc                                   29189        8
 sysutils:'informix'.sysattrtypes                                 29197        8
 sysutils:'informix'.sysinherits                                  29205        8
 sysutils:'informix'.syscolattribs                                29213        8
 sysutils:'informix'.syslogmap                                    29221        8
 sysutils:'informix'.syscasts                                     29229       16
 sysutils:'informix'.sysxtdtypeauth                               29245        8
 sysutils:'informix'.sysams                                       29253        8
 sysutils:'informix'.systabamdata                                 29261        8
 sysutils:'informix'.sysopclasses                                 29269        8
 sysutils:'informix'.syserrors                                    29277        8
 sysutils:'informix'.systraceclasses                              29285        8
 sysutils:'informix'.systracemsgs                                 29293        8
 sysutils:'informix'.sysroutinelangs                              29301        8
 sysutils:'informix'.syslangauth                                  29309        8
 sysutils:'informix'.sysaggregates                                29317        8
 sysutils:'informix'.sysroleauth                                  29325        8
 sysutils:'informix'.sysobjstate                                  29333        8
 sysutils:'informix'.sysviolations                                29341        8
 sysutils:'informix'.syssequences                                 29349        8
 sysutils:'informix'.sysdirectives                                29357        8
 sysutils:'informix'.sysxasourcetypes                             29365        8
 sysutils:'informix'.sysxadatasources                             29373        8
 sysutils:'informix'.sysseclabelcomponents                        29381        8
 sysutils:'informix'.sysseclabelcomponentelements                 29389        8
 sysutils:'informix'.syssecpolicies                               29397        8
 sysutils:'informix'.syssecpolicycomponents                       29405        8
 sysutils:'informix'.syssecpolicyexemptions                       29413        8
 sysutils:'informix'.sysseclabels                                 29421        8
 sysutils:'informix'.sysseclabelnames                             29429        8
 sysutils:'informix'.sysseclabelauth                              29437        8
 sysutils:'informix'.syssurrogateauth                             29445        8
 sysutils:'informix'.sysproccolumns                               29453        8
 sysutils:'informix'.sysexternal                                  29461        8
 sysutils:'informix'.sysextdfiles                                 29469        8
 sysutils:'informix'.sysextcols                                   29477        8
 sysutils:'informix'.sysautolocate                                29485        8
 sysutils:'informix'.sysfragdist                                  29493        8
 sysutils:'informix'.sysprocbody                                  29501        8
 sysutils:'informix'.sysprocedures                                29509        8
 sysutils:'informix'.sysprocbody                                  29517       16
 sysutils:'informix'.sysprocauth                                  29533        8
 sysutils:'informix'.sysprocbody                                  29541       32
 sysutils:'informix'.sysprocedures                                29573       16
 sysutils:'informix'.sysproccolumns                               29589        8
 sysutils:'informix'.sysprocauth                                  29597       16
 FREE                                                             29613        2
 sysmaster:'informix'.sysindices                                  29615       64
 sysutils:'informix'.sysprocplan                                  29679        8
 sysutils:'informix'.sysproccolumns                               29687       16
 sysutils:'informix'. 100_1                                       29703        4
 sysmaster:'informix'.syscolumns                                  29707       32
 sysutils:'informix'.sysprocbody                                  29739       64
 sysutils:'informix'.sysprocedures                                29803       32
 sysutils:'informix'.sysprocplan                                  29835       16
 sysutils:'informix'.bar_server                                   29851        8
 sysutils:'informix'.bar_object                                   29859        8
 sysutils:'informix'. 101_4                                       29867        4
 sysutils:'informix'.bar_obj_idx                                  29871        8
 sysutils:'informix'.bar_action                                   29879        8
 sysutils:'informix'. 102_9                                       29887        4
 sysutils:'informix'. 102_10                                      29891        4
 sysutils:'informix'.bar_act_idx                                  29895        4
 sysutils:'informix'.bar_instance                                 29899        8
 sysutils:'informix'. 103_14                                      29907        4
 sysmaster:'informix'.sysfragments                                29911        8
 sysutils:'informix'.sysprocbody                                  29919      128
